insert into Factura (idFactura, idMesa, tipoPago, Importe) values (1, 1, 'efectivo', 599.15);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (2, 2, 'tarjeta', 156.27);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (3, 3, 'efectivo', 644.42);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (4, 4, 'efectivo', 930.85);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (5, 5, 'tarjeta', 372.65);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (6, 6, 'efectivo', 230.35);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (7, 7, 'tarjeta', 899.69);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (8, 8, 'efectivo', 332.61);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (9, 9, 'efectivo', 790.29);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (10, 10, 'efectivo', 530.65);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (11, 11, 'tarjeta', 424.02);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (12, 12, 'efectivo', 711.54);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (13, 13, 'efectivo', 584.78);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (14, 14, 'tarjeta', 727.71);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (15, 15, 'efectivo', 593.01);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (16, 16, 'efectivo', 415.7);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (17, 17, 'tarjeta', 369.0);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (18, 18, 'tarjeta', 289.22);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (19, 19, 'tarjeta', 8.35);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (20, 20, 'tarjeta', 483.85);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (21, 21, 'efectivo', 787.6);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (22, 22, 'efectivo', 788.24);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (23, 23, 'tarjeta', 388.45);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (24, 24, 'efectivo', 303.56);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (25, 25, 'efectivo', 128.51);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (26, 26, 'tarjeta', 24.43);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (27, 27, 'tarjeta', 774.06);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (28, 28, 'efectivo', 512.83);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (29, 29, 'efectivo', 965.6);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (30, 30, 'tarjeta', 585.89);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (31, 31, 'efectivo', 787.71);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (32, 32, 'efectivo', 592.14);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (33, 33, 'efectivo', 804.1);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (34, 34, 'efectivo', 265.02);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (35, 35, 'tarjeta', 226.08);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (36, 36, 'tarjeta', 340.76);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (37, 37, 'tarjeta', 300.02);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (38, 38, 'tarjeta', 815.6);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (39, 39, 'tarjeta', 661.02);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (40, 40, 'efectivo', 120.67);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (41, 41, 'tarjeta', 320.8);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (42, 42, 'tarjeta', 770.4);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (43, 43, 'efectivo', 47.29);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (44, 44, 'efectivo', 905.78);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (45, 45, 'tarjeta', 767.1);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (46, 46, 'efectivo', 823.15);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (47, 47, 'efectivo', 856.72);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (48, 48, 'tarjeta', 716.29);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (49, 49, 'tarjeta', 781.9);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (50, 50, 'tarjeta', 507.28);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (51, 51, 'tarjeta', 315.2);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (52, 52, 'efectivo', 820.04);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (53, 53, 'efectivo', 404.68);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (54, 54, 'tarjeta', 140.95);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (55, 55, 'efectivo', 851.15);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (56, 56, 'efectivo', 404.05);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (57, 57, 'tarjeta', 844.78);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (58, 58, 'tarjeta', 403.97);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (59, 59, 'efectivo', 260.95);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (60, 60, 'efectivo', 353.47);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (61, 61, 'efectivo', 868.84);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (62, 62, 'efectivo', 740.13);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (63, 63, 'efectivo', 461.58);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (64, 64, 'efectivo', 873.47);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (65, 65, 'efectivo', 855.25);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (66, 66, 'efectivo', 815.81);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (67, 67, 'tarjeta', 198.5);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (68, 68, 'tarjeta', 58.35);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (69, 69, 'efectivo', 557.72);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (70, 70, 'tarjeta', 158.03);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (71, 71, 'efectivo', 553.96);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (72, 72, 'efectivo', 376.84);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (73, 73, 'tarjeta', 501.66);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (74, 74, 'efectivo', 693.18);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (75, 75, 'tarjeta', 392.25);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (76, 76, 'tarjeta', 726.54);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (77, 77, 'tarjeta', 590.69);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (78, 78, 'tarjeta', 869.18);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (79, 79, 'efectivo', 850.88);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (80, 80, 'tarjeta', 129.36);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (81, 81, 'tarjeta', 191.13);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (82, 82, 'efectivo', 918.19);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (83, 83, 'tarjeta', 568.93);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (84, 84, 'tarjeta', 521.76);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (85, 85, 'efectivo', 301.24);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (86, 86, 'tarjeta', 299.7);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (87, 87, 'tarjeta', 20.87);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (88, 88, 'efectivo', 976.92);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (89, 89, 'tarjeta', 287.68);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (90, 90, 'tarjeta', 246.54);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (91, 91, 'efectivo', 76.42);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (92, 92, 'efectivo', 484.69);
insert into Factura (idFactura, idMesa, tipoPago, Importe) values (93, 93, 'tarjeta', 35.33);
